strategy,mean_worst_client_acc,std_worst_client_acc,mean_jains_index
ditto,0.905982905982906,0.02261325906892817,0.9992118984292667
local_only,0.9031339031339032,0.009869235370762751,0.9991966485247786
fedua,0.886039886039886,0.035584034178908194,0.998468199230901
centralized,0.8803418803418803,0.04522651813785614,0.9978809776370031
fedbn,0.8547008547008547,0.034188034188034205,0.99697000765868
fedavg,0.8547008547008547,0.030816677568068253,0.9970006613918998
fedbabu,0.8461538461538461,0.014803853056144197,0.9967134843936906
fedprox,0.8433048433048432,0.035584034178908285,0.9962597480608335
