strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbabu,1,0,Hospital_A (Brain-Tumor MRI),calib,0.5953006148338318,0.061959326714277285,0.06672995537519455,0.024432787746191016,0.06641101092100143,0.963125,0.963125,,,,,,,,,,
fedbabu,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5953006148338318,,,,,,,0.05,0.988125,2.25375,0.9946776628494263,,,,,,
fedbabu,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5953006148338318,,,,,,,0.1,0.98625,2.088125,0.994152843952179,,,,,,
fedbabu,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5953006148338318,,,,,,,0.2,0.98375,1.896875,0.9935469031333923,,,,,,
fedbabu,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.986512164128852,0.9874843554443054,0.9865951742627346,0.9851446442533229,0.9826268241834607,0.9809084924292297
fedbabu,1,1,Hospital_B (Breast Ultrasound),calib,1.0619187355041504,0.050362858252647594,0.21645063161849976,0.08284812172253925,0.21490179002285004,0.8547008547008547,0.8547008547008547,,,,,,,,,,
fedbabu,1,1,Hospital_B (Breast Ultrasound),conformal,1.0619187355041504,,,,,,,0.05,1.0,3.0,0.9999998807907104,,,,,,
fedbabu,1,1,Hospital_B (Breast Ultrasound),conformal,1.0619187355041504,,,,,,,0.1,1.0,2.3333333333333335,0.9605637788772583,,,,,,
fedbabu,1,1,Hospital_B (Breast Ultrasound),conformal,1.0619187355041504,,,,,,,0.2,1.0,1.982905982905983,0.9412474632263184,,,,,,
fedbabu,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9429597615313309,0.9482758620689655,0.9506172839506173,0.9354838709677419,0.8952380952380953,0.8738738738738738
fedbabu,1,2,Hospital_C (COVID-19 X-Ray),calib,0.6872791051864624,0.06544673877438224,0.08460064977407455,0.012459465706442237,0.08162538707256317,0.9499212598425197,0.9499212598425197,,,,,,,,,,
fedbabu,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6872791051864624,,,,,,,0.05,0.9993700787401575,2.499212598425197,0.9889445900917053,,,,,,
fedbabu,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6872791051864624,,,,,,,0.1,0.998740157480315,2.3196850393700785,0.9877250790596008,,,,,,
fedbabu,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6872791051864624,,,,,,,0.2,0.9965354330708661,2.0925984251968504,0.9859326481819153,,,,,,
fedbabu,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9890961080614735,0.994328922495274,0.9887488748874887,0.9850334777471446,0.9765488274413721,0.9691644562334217
