strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedprox,2,0,Hospital_A (Brain-Tumor MRI),calib,0.5541356801986694,0.0581350362859666,0.06766580045223236,0.02871159356087446,0.06691756099462509,0.961875,0.961875,,,,,,,,,,
fedprox,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5541356801986694,,,,,,,0.05,0.988125,2.05375,0.9964680671691895,,,,,,
fedprox,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5541356801986694,,,,,,,0.1,0.9875,1.98875,0.9962862730026245,,,,,,
fedprox,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5541356801986694,,,,,,,0.2,0.98625,1.874375,0.99604731798172,,,,,,
fedprox,2,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9667418179069738,0.981226533166458,0.9857015192135835,0.9859265050820953,0.9847116052814454,0.9809084924292297
fedprox,2,1,Hospital_B (Breast Ultrasound),calib,0.8401538133621216,0.10536996625427505,0.20354849100112915,0.07641901776321934,0.20827144384384155,0.8717948717948718,0.8717948717948718,,,,,,,,,,
fedprox,2,1,Hospital_B (Breast Ultrasound),conformal,0.8401538133621216,,,,,,,0.05,1.0,2.5128205128205128,0.9831499457359314,,,,,,
fedprox,2,1,Hospital_B (Breast Ultrasound),conformal,0.8401538133621216,,,,,,,0.1,0.9914529914529915,2.376068376068376,0.980912983417511,,,,,,
fedprox,2,1,Hospital_B (Breast Ultrasound),conformal,0.8401538133621216,,,,,,,0.2,0.9914529914529915,2.094017094017094,0.9728435277938843,,,,,,
fedprox,2,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9491286671529833,0.9655172413793104,0.9753086419753086,0.946236559139785,0.8857142857142857,0.8918918918918919
fedprox,2,2,Hospital_C (COVID-19 X-Ray),calib,0.7090134024620056,0.05890558342295366,0.08154254406690598,0.013163529869139682,0.08041604608297348,0.9486614173228346,0.9486614173228346,,,,,,,,,,
fedprox,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7090134024620056,,,,,,,0.05,0.9965354330708661,2.3083464566929135,0.9880132675170898,,,,,,
fedprox,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7090134024620056,,,,,,,0.1,0.9962204724409449,2.135748031496063,0.986735999584198,,,,,,
fedprox,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7090134024620056,,,,,,,0.2,0.9955905511811024,1.9738582677165355,0.9852249026298523,,,,,,
fedprox,2,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9890133844515588,0.9911783238815375,0.990999099909991,0.9889720362347381,0.9807490374518726,0.9698275862068966
