seed,ablation,attention,strategy,finetune,client,client_name,acc,f1,mcc,auc,ece,brier
0,ablation_attn_none,none,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9619249202272792,0.9510710533705741,0.9837828125000001,0.05228626697650958,0.0675120218132
0,ablation_attn_none,none,fedua,True,1,Hospital_B (Breast Ultrasound),0.8034188034188035,0.7822207858346065,0.671870315803911,0.9382890082892175,0.06871829424768869,0.2661050559230372
0,ablation_attn_none,none,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9596850393700788,0.9650031617079907,0.9384011923400298,0.9925546012343335,0.04885845319431072,0.07156150836281928
0,ablation_attn_channel,channel,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.96,0.9593970233171378,0.9477037851663851,0.9871260416666667,0.05854163844505232,0.07185053992278789
0,ablation_attn_channel,channel,fedua,True,1,Hospital_B (Breast Ultrasound),0.811965811965812,0.7993333333333332,0.6924408352413738,0.9104601863631524,0.06729874286875057,0.30826446062657825
0,ablation_attn_channel,channel,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9546456692913385,0.9606453086667083,0.9307050457310272,0.9920452829820819,0.06323243327396073,0.07393102230024186
0,ablation_attn_spatial,spatial,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.960625,0.9599664192372743,0.9486851143053169,0.98365625,0.061843440047896506,0.0703383385980121
0,ablation_attn_spatial,spatial,fedua,True,1,Hospital_B (Breast Ultrasound),0.7777777777777778,0.7662844798936524,0.6564184153568109,0.917811954397473,0.0939798025109029,0.3422415661690997
0,ablation_attn_spatial,spatial,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9584251968503937,0.9643034141000362,0.9365644533774813,0.9929763506381764,0.05880479638767624,0.07232030413073232
0,ablation_attn_cbam,cbam,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.96,0.9594199848591521,0.9476360215724215,0.985421875,0.0557449741274967,0.07018663733338885
0,ablation_attn_cbam,cbam,fedua,True,1,Hospital_B (Breast Ultrasound),0.8034188034188035,0.7811447811447811,0.6745005966087361,0.9209989209022243,0.09198757323209086,0.2898474250154482
0,ablation_attn_cbam,cbam,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9596850393700788,0.9619068550014443,0.9382220113081049,0.9896668962434342,0.0562456923511869,0.07059960444722888
0,ablation_no_finetune,cbam,fedbn,False,0,Hospital_A (Brain-Tumor MRI),0.95625,0.9554114911297222,0.9428794395738159,0.9865609375,0.05916053943923969,0.07463962119429214
0,ablation_no_finetune,cbam,fedbn,False,1,Hospital_B (Breast Ultrasound),0.5213675213675214,0.48757087484383516,0.2296123701705946,0.6926428216875905,0.1060552589794719,0.581631377024892
0,ablation_no_finetune,cbam,fedbn,False,2,Hospital_C (COVID-19 X-Ray),0.9606299212598425,0.9652252491953489,0.9397273685177013,0.9896507559750491,0.05571627648437645,0.06803461145161738
1,ablation_attn_none,none,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.9675,0.967077733862045,0.9574094457699956,0.9868057291666666,0.06055988434599875,0.05831475547108922
1,ablation_attn_none,none,fedua,True,1,Hospital_B (Breast Ultrasound),0.8717948717948718,0.8596556422643378,0.7870099369695294,0.9711236219309294,0.10789031199990509,0.1871279078070939
1,ablation_attn_none,none,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9480314960629921,0.9501288491890312,0.9205751211939419,0.985919340698363,0.04511186647230489,0.08702872563411575
1,ablation_attn_channel,channel,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.9575,0.9569864623094848,0.944122891211274,0.9821239583333334,0.058608319450889984,0.07656630515280013
1,ablation_attn_channel,channel,fedua,True,1,Hospital_B (Breast Ultrasound),0.8461538461538461,0.8357815545976223,0.7545500051420644,0.9703234537577613,0.08168946064338405,0.22362149467170053
1,ablation_attn_channel,channel,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9518110236220473,0.9519124539825905,0.9261828737799022,0.9849670991505832,0.05403237284054624,0.08379208286464636
1,ablation_attn_spatial,spatial,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9619262436539737,0.950719749422851,0.9906255208333333,0.06359718195156176,0.06692083152109977
1,ablation_attn_spatial,spatial,fedua,True,1,Hospital_B (Breast Ultrasound),0.8205128205128205,0.8028740260265561,0.7081024046405093,0.9524680698241598,0.08603713179746841,0.21367958639618095
1,ablation_attn_spatial,spatial,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9546456692913385,0.9568612419844906,0.9305167573285745,0.9903720464142458,0.062390279434744414,0.07937463815083615
1,ablation_attn_cbam,cbam,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.963125,0.9624681617556776,0.9519152644314924,0.9881151041666668,0.05332933996100228,0.06995756782979798
1,ablation_attn_cbam,cbam,fedua,True,1,Hospital_B (Breast Ultrasound),0.8205128205128205,0.8072692316415525,0.7237959636630515,0.9550695209456931,0.07072115331098978,0.2479692050635036
1,ablation_attn_cbam,cbam,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.952755905511811,0.9571971548635358,0.9278250019035139,0.987708860352301,0.055016872994195325,0.08054157840038065
1,ablation_no_finetune,cbam,fedbn,False,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9619953578326825,0.9507723209985779,0.9872473958333333,0.06467968056960882,0.06556534219680211
1,ablation_no_finetune,cbam,fedbn,False,1,Hospital_B (Breast Ultrasound),0.5470085470085471,0.5261174162813507,0.2844284541301226,0.7018547790006017,0.11728226736140152,0.5800521645621847
1,ablation_no_finetune,cbam,fedbn,False,2,Hospital_C (COVID-19 X-Ray),0.9562204724409449,0.9603838073691014,0.933027386224268,0.9887803624250878,0.05793262066430241,0.07732140855324494
2,ablation_attn_none,none,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.961875,0.9612599980646661,0.9501589131313956,0.9843182291666668,0.05650664703044159,0.07000108241044757
2,ablation_attn_none,none,fedua,True,1,Hospital_B (Breast Ultrasound),0.811965811965812,0.7903213317847464,0.6764041575958581,0.944381496933795,0.06646742324275738,0.22557713690155534
2,ablation_attn_none,none,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9511811023622048,0.9576485585133863,0.9252467849053277,0.9894156693564097,0.05064393843528757,0.08286315381191632
2,ablation_attn_channel,channel,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.9625,0.962045848135701,0.9507728169983655,0.9934354166666667,0.052501563082185385,0.06870563295414053
2,ablation_attn_channel,channel,fedua,True,1,Hospital_B (Breast Ultrasound),0.7863247863247863,0.7589397349337333,0.6401256032292153,0.9488285345221303,0.08844456489740918,0.25452589917964724
2,ablation_attn_channel,channel,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9502362204724409,0.9565649638186156,0.9238104112532445,0.9914845480977098,0.04545962527925973,0.08678650194813155
2,ablation_attn_spatial,spatial,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.95625,0.9555434152978808,0.942715038086416,0.9841072916666666,0.05491890641148996,0.0767722564814737
2,ablation_attn_spatial,spatial,fedua,True,1,Hospital_B (Breast Ultrasound),0.8034188034188035,0.794328739210629,0.673392397125964,0.9298123075647657,0.09451408187087265,0.26235658261941036
2,ablation_attn_spatial,spatial,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9537007874015748,0.9582573807452544,0.9291054714395893,0.9863269192627475,0.054498869529388504,0.0811127977565066
