seed,ablation,attention,strategy,finetune,client,client_name,acc,f1,mcc,auc,ece,brier
2,ablation_attn_cbam,cbam,fedua,True,0,Hospital_A (Brain-Tumor MRI),0.965625,0.9650788394653349,0.9550210963951626,0.9854968749999999,0.05347548840022787,0.06492012208294538
2,ablation_attn_cbam,cbam,fedua,True,1,Hospital_B (Breast Ultrasound),0.8803418803418803,0.8605758170975563,0.8039128452709411,0.9555255790260114,0.07478955726020858,0.19768837833107616
2,ablation_attn_cbam,cbam,fedua,True,2,Hospital_C (COVID-19 X-Ray),0.9524409448818898,0.9612104620177966,0.9271967326953513,0.9903192271176366,0.054514952477798126,0.08054943676887072
