strategy,client,client_name,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std
fedbn,0,Hospital A (Brain-Tumor MRI),0.9645833333333335,0.0028867513459481316,0.9640815578938251,0.002890324777338366,0.9535919648576116,0.003775852736602807,0.988743576388889,0.0013648437582814204,0.06135194540568426,0.0018364517804177563,0.06441344267892528,0.0033958893322678166
fedbn,1,Hospital B (Breast Ultrasound),0.7321937321937323,0.013055771210700413,0.6763523157907968,0.03758929320706558,0.5233396906518076,0.027660446773944716,0.8896029464963423,0.02435394087446006,0.11083250355578662,0.03591125858589534,0.3665553856239911,0.043033164041719696
fedbn,2,Hospital C (COVID-19 X-Ray),0.9537007874015749,0.006147786234942745,0.9590282387838053,0.005067938623085793,0.9293822048466502,0.009273580688723517,0.9926676499885083,0.0008452800388437104,0.05822526538229073,0.0028452891707823357,0.07871413042297906,0.009238235621171414
fedua,0,Hospital A (Brain-Tumor MRI),0.9577083333333333,0.0013010412496663054,0.957078141297416,0.0013091143323408759,0.9445649181041053,0.0016175281785226745,0.9866809027777778,0.0018402468878435162,0.05760867050169124,0.010849661102126908,0.07533226820148153,0.002495344064309322
fedua,1,Hospital B (Breast Ultrasound),0.772079772079772,0.04707325254090685,0.7335959990585784,0.05890542475444451,0.6034148688634797,0.0913648990007243,0.8880976145533062,0.04999830954356517,0.11844521722482472,0.03061718060883755,0.3489155437388248,0.07428285344171945
fedua,2,Hospital C (COVID-19 X-Ray),0.95002624671916,0.008932526308201858,0.9548736749264438,0.011235706430751696,0.9238019645924438,0.013641445002600276,0.9923557003868645,0.0037928259595912256,0.05709169291225041,0.004701086724651313,0.08123528347351307,0.011396803043008472
local_only,0,Hospital A (Brain-Tumor MRI),0.961875,0.0,0.9612647521699675,7.522102757853684e-05,0.9501448867270662,0.0001511812250772411,0.9893416666666667,0.0025499245227289,0.0536947865683968,0.0050035352023185,0.070319464115722,0.0017753580386154454
local_only,1,Hospital B (Breast Ultrasound),0.8433048433048432,0.030016107557985016,0.8319525460903217,0.03496284386703345,0.7460330672762692,0.048469919623166956,0.9440142699458488,0.03185904899468194,0.07585774845975596,0.005761995542160824,0.2509585074397351,0.04506145159444172
local_only,2,Hospital C (COVID-19 X-Ray),0.9569553805774279,0.0030264641061206535,0.9633932403575217,0.0030656428395424407,0.934144006859759,0.004628513913946812,0.9894862847903744,0.0016644928125853211,0.05187946814482027,0.0045345688965720155,0.07461740411335943,0.006592674171126022
