reference,baseline,delta_acc_pct,ci95_low,ci95_high,t_statistic,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
fedua,local_only,-2.744029058333519,-3.887570038439883,-1.6004880782271553,-10.324600800272497,0.00925111672114083,0.0,0.25
fedua,fedbn,0.9778833067875045,-2.0621965507555786,4.017963164330587,1.3840071565508405,0.30056708969853274,1.0,0.5
