strategy,seed,client,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbn,2,0,calib,0.5637596249580383,0.06017940975725646,0.06131114065647125,0.02448826357722278,0.061129938811063766,0.965625,0.965625,,,,,,,,,,
fedbn,2,0,conformal,0.5637596249580383,,,,,,,0.05,0.991875,2.251875,0.9967468976974487,,,,,,
fedbn,2,0,conformal,0.5637596249580383,,,,,,,0.1,0.99,2.078125,0.9963679313659668,,,,,,
fedbn,2,0,conformal,0.5637596249580383,,,,,,,0.2,0.988125,1.911875,0.9959965944290161,,,,,,
fedbn,2,0,risk_cov,,,,,,,,,,,,0.984488719737177,0.9874843554443054,0.9901697944593387,0.9906176700547302,0.9874913134120917,0.9848584595128373
fedbn,2,1,calib,1.026465892791748,0.12084913788697657,0.5461251139640808,0.09242397699600612,0.5454899668693542,0.5555555555555556,0.5555555555555556,,,,,,,,,,
fedbn,2,1,conformal,1.026465892791748,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedbn,2,1,conformal,1.026465892791748,,,,,,,0.1,1.0,3.0,1.0,,,,,,
fedbn,2,1,conformal,1.026465892791748,,,,,,,0.2,0.9914529914529915,2.8376068376068377,0.924963116645813,,,,,,
fedbn,2,1,risk_cov,,,,,,,,,,,,0.6898807616557722,0.6379310344827587,0.5802469135802469,0.5806451612903226,0.580952380952381,0.5675675675675675
fedbn,2,2,calib,0.7489050626754761,0.05809105202907649,0.08922220766544342,0.01706639519826635,0.08972600847482681,0.9448818897637795,0.9448818897637795,,,,,,,,,,
fedbn,2,2,conformal,0.7489050626754761,,,,,,,0.05,0.9930708661417322,2.188031496062992,0.9826152324676514,,,,,,
fedbn,2,2,conformal,0.7489050626754761,,,,,,,0.1,0.9921259842519685,2.054173228346457,0.9807923436164856,,,,,,
fedbn,2,2,conformal,0.7489050626754761,,,,,,,0.2,0.991496062992126,1.9332283464566928,0.9793941378593445,,,,,,
fedbn,2,2,risk_cov,,,,,,,,,,,,0.9798599150217026,0.9880277252678009,0.9864986498649865,0.9838519102008665,0.9772488624431221,0.9671750663129973
