strategy,seed,client,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedua,1,0,calib,0.5856287479400635,0.05442931070923808,0.07025092840194702,0.029510935507714747,0.07077550888061523,0.9625,0.9625,,,,,,,,,,
fedua,1,0,conformal,0.5856287479400635,,,,,,,0.05,0.995,2.331875,0.9960414171218872,,,,,,
fedua,1,0,conformal,0.5856287479400635,,,,,,,0.1,0.99375,2.133125,0.9956159591674805,,,,,,
fedua,1,0,conformal,0.5856287479400635,,,,,,,0.2,0.9925,1.95875,0.995098888874054,,,,,,
fedua,1,0,risk_cov,,,,,,,,,,,,0.986021071274046,0.9887359198998749,0.9892761394101877,0.9874902267396404,0.9833217512161223,0.978275181040158
fedua,1,1,calib,1.1848770380020142,0.09856745498812097,0.3304326832294464,0.0928702145560175,0.3322189748287201,0.7948717948717948,0.7948717948717948,,,,,,,,,,
fedua,1,1,conformal,1.1848770380020142,,,,,,,0.05,1.0,3.0,0.9999999403953552,,,,,,
fedua,1,1,conformal,1.1848770380020142,,,,,,,0.1,1.0,2.717948717948718,0.9625781774520874,,,,,,
fedua,1,1,conformal,1.1848770380020142,,,,,,,0.2,1.0,2.47008547008547,0.9360110759735107,,,,,,
fedua,1,1,risk_cov,,,,,,,,,,,,0.8350944343279996,0.8103448275862069,0.8271604938271605,0.8172043010752689,0.8095238095238095,0.7927927927927928
fedua,1,2,calib,0.7193458676338196,0.06061974205370026,0.09733036905527115,0.011505115858213157,0.09355444461107254,0.9411023622047244,0.9411023622047244,,,,,,,,,,
fedua,1,2,conformal,0.7193458676338196,,,,,,,0.05,0.9977952755905511,2.5061417322834645,0.9877815246582031,,,,,,
fedua,1,2,conformal,0.7193458676338196,,,,,,,0.1,0.9968503937007874,2.2636220472440947,0.985623836517334,,,,,,
fedua,1,2,conformal,0.7193458676338196,,,,,,,0.2,0.9955905511811024,2.0270866141732284,0.9829539060592651,,,,,,
fedua,1,2,risk_cov,,,,,,,,,,,,0.9843207730241608,0.9911783238815375,0.9860486048604861,0.9807010634107917,0.9702485124256213,0.9605437665782494
