strategy,seed,client,temp,alpha,coverage,mean_set_size,qhat,metric,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95,ece_raw,brier_raw,ece,brier,acc_uncal,acc_cal
fedbn,1,0,0.6010004878044128,0.05,0.9925,2.446875,0.9956821203231812,,,,,,,,,,,,,
fedbn,1,0,0.6010004878044128,0.1,0.99125,2.17625,0.9950371384620667,,,,,,,,,,,,,
fedbn,1,0,0.6010004878044128,0.2,0.989375,1.966875,0.994333028793335,,,,,,,,,,,,,
fedbn,1,0,,,,,,risk_cov,0.9901619441639729,0.9899874843554443,0.9892761394101877,0.9890539483971853,0.9881862404447533,0.9835418038183015,,,,,,
fedbn,1,0,,,,,,calib,,,,,,,0.06326720880344508,0.06554453074932098,0.021296580787748067,0.06516119837760925,0.9625,0.9625
fedbn,1,1,1.1028504371643066,0.05,1.0,3.0,1.0,,,,,,,,,,,,,
fedbn,1,1,1.1028504371643066,0.1,1.0,3.0,1.0,,,,,,,,,,,,,
fedbn,1,1,1.1028504371643066,0.2,1.0,2.9743589743589745,0.9383996725082397,,,,,,,,,,,,,
fedbn,1,1,,,,,,risk_cov,0.6362236135514947,0.6724137931034483,0.6666666666666666,0.6451612903225806,0.6190476190476191,0.5945945945945946,,,,,,
fedbn,1,1,,,,,,calib,,,,,,,0.1014912467227023,0.5451780557632446,0.09215684477080646,0.5441522598266602,0.5726495726495726,0.5726495726495726
fedbn,1,2,0.7298973798751831,0.05,0.9959055118110236,2.356850393700787,0.9852254986763,,,,,,,,,,,,,
fedbn,1,2,0.7298973798751831,0.1,0.9955905511811024,2.1867716535433073,0.9834970235824585,,,,,,,,,,,,,
fedbn,1,2,0.7298973798751831,0.2,0.9943307086614174,2.0022047244094487,0.9816634654998779,,,,,,,,,,,,,
fedbn,1,2,,,,,,risk_cov,0.9836315328991925,0.9886578449905482,0.9860486048604861,0.9846396218983852,0.9796989849492475,0.9714854111405835,,,,,,
fedbn,1,2,,,,,,calib,,,,,,,0.05716672195224315,0.07998836785554886,0.0104277051339938,0.07830481976270676,0.9537007874015748,0.9537007874015748
