reference,method,wilcoxon_W,p_value,delta_acc
fedua,centralized,0.0,0.10880943004054569,-0.03263329754910264
fedua,ditto,0.0,0.10880943004054569,-0.027954284159992793
fedua,fedavg,0.0,0.10880943004054569,0.0786355491621239
fedua,fedbabu,2.0,0.5929800980174267,0.01250836567437615
fedua,fedbn,0.0,0.10880943004054569,0.083583200604198
fedua,fedprox,0.0,0.10880943004054569,0.06826357576029489
fedua,local_only,1.0,0.28504940740261275,-0.01901535077880223
