strategy,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
ditto,0.970806278684595,0.9797830009435857,0.9759399664853122,0.9728756760180227,0.9646115412609227,0.9572399946426642
fedavg,0.8690659091209108,0.868867435164414,0.8601089232148317,0.8525113175688914,0.8424685942299072,0.8335326615558619
fedbabu,0.9512296833993967,0.966234940428246,0.9415492636543965,0.9318651044172367,0.9189550350809179,0.9104150580592658
fedbn,0.8807655154443583,0.8785285593283483,0.8600390969491151,0.8518571758738367,0.8460924551902833,0.8383413852784583
fedprox,0.8803637919128684,0.8750083278845724,0.8686926267180718,0.8662352548114246,0.8542435316757215,0.8522432769214908
fedua,0.9545785069391436,0.9697278581933632,0.9659970316364372,0.9557822439571088,0.9490395444797335,0.9385005422666316
local_only,0.9617239627200179,0.9717000496202777,0.9686908700137548,0.9697410816411318,0.9668328056456359,0.9599536089087972
