strategy,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,n_seeds
local_only,0.9414202905459467,0.003770034065573187,0.9391032649958958,0.0034418213757375095,0.909444741077488,0.006161361120777126,0.9791367708381284,0.003946589111402902,0.053494942900122355,0.007005184675899173,0.10078659571485239,0.004562516130614786,3
centralized,0.9349519698125341,0.011076952383314801,0.9349695813143869,0.009451867516741343,0.8973783916700411,0.018454430926359684,0.9812098863336517,0.005825924567214606,0.07285734187475995,0.008157552462947235,0.10866088903857109,0.018566326418770342,3
ditto,0.9339752376038466,0.012879700570729492,0.932246885681638,0.013443965561685797,0.895901774019806,0.023569594008575112,0.9791689258622474,0.006883849664178027,0.06011363264710773,0.0007768275432544739,0.10364998174234065,0.013063493476137888,3
fedua,0.9204059408439328,0.004339278035003559,0.9164459151072525,0.005615845549789052,0.8749501924533613,0.007825414297889924,0.9717882972919846,0.014437572440995786,0.06904928216541639,0.0057216341853675075,0.12739304833763912,0.014284183609695102,3
fedbabu,0.8881791665731954,0.020303994947174924,0.8818381850651295,0.021297715555546517,0.8212321693845642,0.039393494070943356,0.9589076137237581,0.014319634236630857,0.06964400568933948,0.004609757340361882,0.16150466875144567,0.020377223746086654,3
fedprox,0.8354488955440399,0.012656170522416865,0.8199743879849946,0.0112058876264357,0.7289169400867598,0.02534861377076499,0.9063798864751287,0.010494853077463812,0.07082098533998808,0.004750823944124281,0.2215178174900497,0.008516266026010367,3
fedbn,0.8260286367783087,0.008870244499544702,0.8059228925124694,0.01791532975937918,0.7136065937718037,0.029600017465147153,0.9023388445145676,0.0035109108821530254,0.08470259842749027,0.007693432953956681,0.2317335565531341,0.008887397353945376,3
fedavg,0.818005469001204,0.015394589419638057,0.8005946863543235,0.023329358550223434,0.7101864721801195,0.036019979124996895,0.9036083865350829,0.025083800033857264,0.07800676069303251,0.011588545365474791,0.23491928565449505,0.01801457919396435,3
