strategy,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
centralized,0.9301748274022117,0.020367684881445088,0.9127884094484694,0.036215861432903076,0.8937095230432814,0.03331758464203673,3
ditto,0.9225212237076272,0.029959052840591326,0.9157251543972095,0.03622735979525321,0.8802919404086081,0.04606082416181377,3
local_only,0.9173677541189845,0.024563977716566383,0.9117462250617452,0.032612155337197066,0.872184923427369,0.03679172633952755,3
fedua,0.8819822854633391,0.02996018275121214,0.8738331563801608,0.03456741424307464,0.8278113373228337,0.03941067127718263,3
fedbabu,0.8739735635620702,0.04561759895858912,0.8627163148622365,0.057189787277859665,0.8081804255831339,0.06867858774407874,3
fedprox,0.8179744586546592,0.044246487301703975,0.7962394593243305,0.05988021223862282,0.7145659642383482,0.06081318690913259,3
fedbn,0.8034452853180759,0.03893773611644694,0.7824741547836798,0.04591226293043744,0.6943108189729762,0.04157790340866553,3
fedavg,0.7917312883464954,0.05290412184596884,0.7655175770441954,0.06655678064424451,0.6811756400068886,0.06696371380187735,3
ensemble,0.7540210857308198,,0.7100425750568744,,0.635894044242338,,1
