seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
1,local_only,0,Hospital_A (Brain-Tumor MRI),0.965625,0.9651078037881006,0.95502857095363,0.9924505208333333,0.06057907160056495,0.06474958512076526,0.9673114811472803,0.9656250000000001
1,local_only,1,Hospital_B (Breast Ultrasound),0.8461538461538461,0.8205547067810555,0.7421118939807602,0.9616037243299687,0.08512937209099167,0.22621698485219568,0.8147465437788018,0.8278846153846153
1,local_only,2,Hospital_C (COVID-19 X-Ray),0.955275590551181,0.959190510146616,0.931674687563549,0.9869928705365606,0.05572190089851432,0.07801022349426552,0.9617572787102808,0.957082953775746
