strategy,client,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std
centralized,0,0.9630139462809917,0.0030131324296479196,0.9624834484400617,0.0032143562438220496,0.9516590236649611,0.003807849809542135,0.9836674005681819,0.0006777966476281494,0.021243087364431985,0.029745265236136947,9.798800306468125,6.97546306012466
centralized,1,0.8402203856749312,0.01773261794003764,0.8372059080937572,0.017276610906985877,0.7251142887729621,0.034960629889998304,0.9567869773291009,0.0063094428532349195,0.016441242308759135,0.02310527122675478,10.704209744678627,7.528603218484415
centralized,2,0.9636728053621396,0.002532087527108153,0.9669902720207494,0.0030502586000718613,0.9444169202926227,0.0038662669481450687,0.994688703234485,0.0005494300993739738,0.02810250525912898,0.03940480850216909,9.393930680218297,6.6902872795411215
centralized,3,0.8376580172987359,0.0,0.6112326740940032,1.1188630228279524e-16,0.711162328974246,1.1188630228279524e-16,0.9673137525341413,1.1188630228279524e-16,0.04182943101031471,6.992893892674703e-18,0.2489251787839492,0.0
centralized,4,0.6749999999999999,1.1188630228279524e-16,0.5577418092452352,0.0,0.5309450319834016,1.1188630228279524e-16,0.8977456949354855,1.1188630228279524e-16,0.11227410482044262,1.3985787785349405e-17,0.4251691533020044,0.0
centralized,pooled,0.9502534153791197,0.016970957793755126,0.8885093303837592,0.06569439697518416,0.9416052508475953,0.01779034377903874,0.9931615630356935,0.0019000436230199051,0.020775589415319946,0.029114199486134213,9.57183390521954,6.7838118845255435
ditto,0,0.9611677170868348,0.0024447036678640717,0.9605344750488294,0.0025520127110412543,0.9492241541958885,0.0030833908997122696,0.9839738124416433,0.002442156364319932,0.022088877961898404,0.025258576470106726,4.022326579766279,3.0497895862355477
ditto,1,0.8675093969211617,0.02948007804471625,0.8587409908785985,0.029449285024438984,0.7753160518313009,0.05139842730781031,0.9489764773570399,0.01766523270407636,0.04758409675979504,0.02067042776106195,2.6938071206727217,1.9378352599484627
ditto,2,0.9593639030415315,0.0041144770572005464,0.9642785166013054,0.005141986534914386,0.9378852726340285,0.006205823626465045,0.9930189367014082,0.0011887064017097326,0.02403659811024584,0.030076347413889246,3.783977357794173,2.8687246132816315
ditto,3,0.8316699933466402,1.1145513959121702e-16,0.7500195719502364,0.0,0.7116569866303307,0.0,0.9521194660870443,1.1145513959121702e-16,0.043998582369537007,6.965946224451063e-18,0.2564639313911336,0.0
ditto,4,0.6916666666666667,0.0,0.6545315825149361,1.1145513959121702e-16,0.5772180615362646,0.0,0.8857800350599672,1.1145513959121702e-16,0.1135676405272983,0.0,0.4516600234848011,0.0
ensemble,0,0.95625,0.0,0.9553760294857652,0.0,0.9429769397550573,0.0,0.9894119791666667,1.1274368112207335e-16,0.0669582495914045,0.0,0.0727112859610742,0.0
ensemble,1,0.5726495726495726,0.0,0.5308250750111215,0.0,0.328091361200704,0.0,0.8084571446535117,0.0,0.0887526379202879,0.0,0.5341243293302121,0.0
ensemble,2,0.9644094488188976,0.0,0.969421835358844,0.0,0.9454975266718714,0.0,0.9942686147435492,0.0,0.0634495272377536,0.0,0.0620770933366335,0.0
ensemble,3,0.7684630738522954,0.0,0.6971867971821923,0.0,0.6370327170665901,0.0,0.9552457762228476,0.0,0.0612854209411477,0.0,0.3322742865692427,0.0
ensemble,4,0.5083333333333333,0.0,0.397403138246449,0.0,0.3258716765174673,0.0,0.7849601963137232,0.0,0.1146655615143222,0.0,0.6296496603414831,0.0
fedavg,0,0.9344475475089882,0.07494952742179126,0.9322836685919499,0.07978820650886613,0.9146582976505033,0.09652160233374317,0.9746567046702905,0.028381999661667347,0.06975517667305253,0.12906036525905787,354169.101435765,619636.9794720536
fedavg,1,0.5183227318820539,0.04025354035348357,0.46288139134871514,0.059902745957473746,0.23471235059872136,0.05058498542131614,0.7138854982948962,0.04207422942508681,0.11382022026255467,0.02419181973890653,1.236276033032244,0.6386175617078266
fedavg,2,0.9218915432181147,0.11766017668085409,0.9174528591910496,0.14445832545199594,0.8942567569323892,0.138453910415945,0.976942733974132,0.047609973533530255,0.055124661749193136,0.08890385834774922,2.946688671221799,2.7989565096646123
fedavg,3,0.7342927633707941,0.007703512075196169,0.6294720037394155,0.013006652435709035,0.586654696949758,0.015030994080309498,0.9449816886832535,0.0032587904298898435,0.042029910513949956,0.0005430733769554374,0.3614874969441819,0.007359924723536986
fedavg,4,0.4927367055771725,0.019297297748366374,0.4085133779433392,0.005873282633485438,0.3274623014792973,0.015258827545107725,0.7846159813698705,0.01233271435052974,0.07997131741774499,0.010227201258648656,0.6285439065044354,0.017786045244466163
fedbabu,0,0.9592017180094787,0.005887384733568237,0.9585740727675905,0.006086234765851179,0.9467187265874513,0.007612133520151615,0.9841156138921802,0.0027789842836969275,0.02131086374158146,0.026256908772915182,3.4525884365446826,2.7160296803390773
fedbabu,1,0.721189289909669,0.03711166902655526,0.7028464310320803,0.03752252281777828,0.5532773027236196,0.07326028536887166,0.8830872158647404,0.023596035830576546,0.06873773290468396,0.031165429792051717,2.1297156368484584,1.4156509404231767
fedbabu,2,0.957787812068515,0.00302449485197212,0.963884980876284,0.004050237284408169,0.9355430842774667,0.004568656690970701,0.9930115006063055,0.0011283602743208565,0.024584714565865244,0.03023725009064082,3.266134694753412,2.5810389513791616
fedbabu,3,0.778443113772455,1.1136870674410205e-16,0.6864541475725153,0.0,0.6442056305220093,1.1136870674410205e-16,0.9550352145059844,0.0,0.05213304477935712,1.3921088343012756e-17,0.3180095998343014,0.0
fedbabu,4,0.5583333333333335,1.1136870674410205e-16,0.4799287270790287,5.568435337205103e-17,0.40031328416899414,5.568435337205103e-17,0.8466670763967007,2.227374134882041e-16,0.15537975325716347,2.784217668602551e-17,0.5533947680769783,0.0
fedbn,0,0.9592674365942029,0.0027242663468278407,0.9586823225373865,0.0028311359672733394,0.9466195181959816,0.003420606515018596,0.987206404740338,0.0032553108498130996,0.029546819371910383,0.030353106491989253,3.5641237191238884,2.977625747535053
fedbn,1,0.5307041991824599,0.027243691816544964,0.5022004419161417,0.02935753382963967,0.2833394701883389,0.06524968251000024,0.7236922716316627,0.03886886475918074,0.11015185337429541,0.011338679932352519,1.224538111704075,0.5243214553189224
fedbn,2,0.962173342462627,0.005944990314978393,0.9657861694713311,0.006950454134995676,0.9421313022400684,0.009063768868825707,0.9920904537304706,0.0013308460325394485,0.026558222946941278,0.030157323982759488,3.389712204734525,2.834535702505634
fedbn,3,0.7385229540918166,2.225396882708156e-16,0.662609673101058,1.112698441354078e-16,0.5978832843601135,0.0,0.9379299343299595,3.338095324062234e-16,0.025341631157697206,6.954365258462987e-18,0.3674338132563312,0.0
fedbn,4,0.5041666666666665,1.112698441354078e-16,0.41319962115095776,5.56349220677039e-17,0.3236327756827136,0.0,0.7884125946444184,1.112698441354078e-16,0.0803819700089025,0.0,0.6157278240258905,1.112698441354078e-16
fedprox,0,0.9609740759753594,0.00456030992516489,0.9604240608565715,0.0046654950629814425,0.9487552698681335,0.005922577506167522,0.9847483936516087,0.0011352620946574136,0.028145944142624533,0.031106314034779634,3.6020788465205364,2.937926450097164
fedprox,1,0.5634707523824565,0.026746645087589997,0.5114343206366557,0.03557443264620417,0.2828447936834947,0.05521168437255741,0.7280771740434593,0.04070281321491091,0.13152760033649757,0.023651018725853862,1.238529725738921,0.5597774943731108
fedprox,2,0.9618813562062444,0.0038355123904812776,0.9661639652996051,0.005084505682190024,0.9416557976460536,0.005844845931605257,0.9925456192518638,0.001804294367245184,0.02510605501288575,0.02920502065282007,3.4829162291832576,2.8451404330999654
fedprox,3,0.7332002661343979,1.1131104755993996e-16,0.6566858537405259,1.1131104755993996e-16,0.5935518031180613,1.1131104755993996e-16,0.946892068845809,2.226220951198799e-16,0.039364715762239995,6.956940472496247e-18,0.3651857813195405,0.0
fedprox,4,0.4916666666666666,0.0,0.367362192795681,0.0,0.31017628249682205,5.565552377996998e-17,0.7732496986849329,0.0,0.11833306446942968,2.782776188998499e-17,0.6254707080229096,2.226220951198799e-16
fedua,0,0.9326420789163724,0.07743849018697227,0.9316425982774642,0.07868001743135596,0.9125743664171236,0.0992812884963351,0.9814074499411073,0.016671294205570546,0.02308355022309555,0.02769762512320834,3.444678971908124,2.889016361412242
fedua,1,0.7858536438041738,0.05842609213643796,0.7671745848854147,0.05430748723500926,0.6675270591574972,0.08315367172139411,0.9172745668094702,0.035257969460744824,0.06356410905545533,0.05588868762553031,2.3150141802527004,1.6827012972213016
fedua,2,0.9143132726783713,0.10682101942831443,0.9091242808966767,0.1323035974700467,0.8828717270625149,0.12523198800025168,0.9787732692514547,0.03558000532976155,0.03600078748378943,0.0467827985775844,3.7826297939535305,3.142049285098167
fedua,3,0.6959414504324685,1.1188630228279524e-16,0.6601892183005632,0.0,0.5725079219213964,0.0,0.9428441304199937,1.1188630228279524e-16,0.0676660758302544,0.0,0.41248419520726637,5.594315114139762e-17
fedua,4,0.6666666666666666,0.0,0.6211521864211739,1.1188630228279524e-16,0.5680356278516356,0.0,0.9090141909140811,1.1188630228279524e-16,0.09989428251737478,1.3985787785349405e-17,0.4508553174069795,1.1188630228279524e-16
local_only,0,0.958390410958904,0.0030800771237526497,0.9576976527501664,0.0031753215174124684,0.9456293837025992,0.003951290335041681,0.983845924300799,0.0022952071287544733,0.018585723722080706,0.025520162126087317,3.981861371039151,2.8230368509065813
local_only,1,0.8459196815361198,0.0394253385274693,0.8333230692276753,0.04270233282299463,0.7485153007726674,0.05997584600062338,0.9475351786156071,0.009588928841407541,0.062421186156659904,0.019265730416150807,2.7571523058932947,1.8731440284012684
local_only,2,0.9615532305037212,0.004137704791405582,0.9669676100134235,0.004623751345043637,0.9412910284238726,0.006261272470128903,0.992691613856793,0.0019664516348017755,0.01981172872927089,0.026547343208300468,3.834099687920467,2.7242854601878226
local_only,3,0.8396540252827674,3.347971367310914e-16,0.7385668936514219,2.2319809115406096e-16,0.7103562938211166,1.1159904557703048e-16,0.9584496605809882,0.0,0.038537335720974106,6.974940348564405e-18,0.2494537602800593,0.0
