strategy,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,ece_mean,brier_mean,n_seeds
centralized,0.9378456594921077,0.0071304095034913865,0.9294494323220518,0.007679131909078363,0.90479995467693,0.014127120842678897,0.06974991942820997,0.0941764560802788,3
ditto,0.9331666461029977,0.012044772363811365,0.930555199167403,0.01085710174850945,0.8948662502742963,0.021158015908160487,0.0590506445425899,0.10287733188193683,3
local_only,0.9242277127218071,0.013608394043885077,0.9224321279915132,0.015007316851817819,0.882208185996737,0.02059413191051367,0.04715618268102576,0.1037824561214327,3
fedua,0.9052123619430049,0.01027842698751517,0.899492782120785,0.010283838307976242,0.8577645493223142,0.012500637928474227,0.06456285677736318,0.16012515118128617,3
fedbabu,0.8927039962686288,0.0132188568211711,0.8874531071423903,0.014428073210070948,0.8299002909511893,0.03151490242585875,0.06104068756937547,0.15531663398735612,3
fedprox,0.8369487861827101,0.011381988181224203,0.8224372979987272,0.014522959447964312,0.7344550795818191,0.026373321655827824,0.06632570318902063,0.2161200472798138,3
fedavg,0.826576812780881,0.01935023747647052,0.8082074839950392,0.024628364352827267,0.7157913698136773,0.03210237453697047,0.07615276608752086,0.22108118862080275,3
fedbn,0.8216291613388069,0.008190478306249867,0.8045722833544805,0.01122343186872733,0.709294646128794,0.018732877114391196,0.07970656186892054,0.23221948396366462,3
