layer,baseline_mean,baseline_std,pers_mean,pers_std,delta_mean,delta_std,baseline_A_B_mean,baseline_A_C_mean,baseline_B_C_mean,pers_A_B_mean,pers_A_C_mean,pers_B_C_mean
Early (features[1]),0.8182208802964951,0.02725288259979638,0.8339744938744439,0.017817253805066543,0.01575361357794869,0.02547856520521329,0.8455244104067484,0.709862212340037,0.8992760181427002,0.8666815161705017,0.7252613306045532,0.9099806348482767
Mid (features[3]),0.7143559190962049,0.04698607393819014,0.7136131260130142,0.042471266373306234,-0.000742793083190881,0.07849735183017564,0.6083699663480123,0.6797224481900533,0.8549753427505493,0.6272822618484497,0.6576307614644369,0.8559263547261556
Mid-Late (features[5]),0.852430350250668,0.047190961156969365,0.7986663977305094,0.09457016031761344,-0.053763952520158566,0.1409787308144424,0.7946140567461649,0.9057522614796957,0.8569247325261434,0.8012494842211405,0.8340944846471151,0.7606552243232727
Dual CBAM (attention),0.5536002251836988,0.040867508861998546,0.5241721189684337,0.23070490664355842,-0.029428106215265055,0.25326524721627536,0.5791454712549845,0.5278493165969849,0.5538058876991272,0.6880496541659037,0.43322309603293735,0.4512436067064603
Projection (fc),0.3674743539757199,0.03505706610451172,0.12588462409459883,0.030567411989188508,-0.24158972988112104,0.04339254316332826,0.3734154502550761,0.35539252559343976,0.3736150860786438,0.18884050846099854,0.13459103709707657,0.05422232672572136
