layer,delta_mean,delta_std,paired_t_stat_seeds,paired_p_val_seeds,paired_t_stat_pairs,paired_p_val_pairs,verdict
Early (features[1]),0.015753620200687046,0.025478583454404593,1.0709414296741964,0.3962972199638903,1.6065271175904325,0.1468252860675723,not distinguishable from noise at this sample size
Mid (features[3]),-0.0007416870858934314,0.07849687944609307,-0.01636548771301588,0.9884286274225949,-0.017136367783241343,0.9867474963939951,not distinguishable from noise at this sample size
Mid-Late (features[5]),-0.05323188834720186,0.14011890812456076,-0.6580149419821659,0.5781421265415047,-1.1570695069790302,0.28062253555005945,not distinguishable from noise at this sample size
Dual CBAM (attention),-0.029430229009853464,0.25327060035130244,-0.20126557070875423,0.8591034509061077,-0.2963543951718143,0.7745071837062145,not distinguishable from noise at this sample size
Projection (fc),-0.24157412929667368,0.043429621369265814,-9.634407405452485,0.010602301777318057,-6.503696976920973,0.00018737269975517516,consistent effect across seeds
