layer,cka_uniform_baseline,cka_personalize_deep,delta,baseline_A_B,baseline_A_C,baseline_B_C,pers_A_B,pers_A_C,pers_B_C
Early (features[1]),0.8547376592954,0.8349960843722025,-0.019741574923197502,0.8710581660270691,0.7669225335121155,0.9262322783470154,0.8557361364364624,0.726973295211792,0.9222788214683533
Mid (features[3]),0.6778384844462076,0.7225202322006226,0.04468174775441491,0.5865688920021057,0.5914815664291382,0.8554649949073792,0.6738364696502686,0.6578478813171387,0.8358763456344604
Mid-Late (features[5]),0.39116207261880237,0.8663771152496338,0.4752150426308314,0.13715960085391998,0.14764061570167542,0.8886860013008118,0.8192135691642761,0.9393299221992493,0.840587854385376
Dual CBAM (attention),0.19456166106586656,0.5459320743878683,0.3513704133220017,0.01679413951933384,0.00457019405439496,0.5623206496238708,0.5635092854499817,0.421450138092041,0.652836799621582
Projection (fc),0.1345794319640845,0.14639059702555338,0.01181116506146887,0.007569034583866596,0.0022035103756934404,0.3939657509326935,0.10925088822841644,0.22143445909023285,0.10848644375801086
