client,name,accuracy,precision,recall,f1,auc
0,Hospital_A (Brain-Tumor MRI),0.55,0.5916324903167007,0.5499999999999999,0.4774526653836999,0.8375925925925927
1,Hospital_B (Breast Ultrasound),0.6625,0.7031746031746032,0.6944444444444443,0.6562289562289562,0.8368333333333332
2,Hospital_C (COVID-19 X-Ray),0.3,0.3157894736842105,0.3,0.1875,0.6895370370370371
